file	width	height
043_1r	2861	1770
124_1r	2362	3467
124_1v	2358	3462
262_3r	657	366
314_1r	3116	4706
314_1v	3360	4731
315_1r	3618	5539
315_2r	5507	3289
315_2v	5484	3251
320_1r	3073	2389
320_1v	3082	2394
320_2r	1366	1008
325_1r	1330	1020
325_1v	1329	1025
325_2r	1335	1027
325_2v	1332	1023
325_3r	8185	6607
328_1r	5566	4364
328_2r	2404	1585
329_2r	2850	4350
412_1r	4778	3077
412_1v	4745	3034
412_2r	3226	1870
433_3r	4177	1792
433_4r	3891	2836
435_3r	1584	2461
435_3v	1566	2477
435_4r	1526	2373
435_4v	1740	2409
454_1r	6544	4960
454_1v	6739	4608
491_1r	2849	1877
491_1v	3298	2120
493_2r	797	455
569_1r	3392	2420
569_1v	3172	2420
569_2r	1629	2482
569_2v	1624	2481
570_1r	1681	2623
573_1r	5400	4328
573_1vL	2759	4350
575_1r	3329	2497
575_1v	3029	2354
587_1r	1558	2383
587_1v	1533	2345
596_1r	3436	2553
596_1v	3440	2566
598_1r	4216	3141
598_1rL	2120	3269
598_1rR	2100	3269
598_1v	4368	3392
598_1vL	2204	3392
598_1vR	2176	3392
599_1r	3182	2457
599_1v	6040	4660
612_1r	3191	2288
612_1v	3226	2301
618_1r	3905	2991
618_1v	3868	2974
622_1r	4256	2777
622_1v	4233	2756
622_2r	2110	1689
622_2v	2112	1683
622_3r	2064	1048
622_3v	2140	1082
627_1r	4732	3720
627_1rL	2366	3720
627_1rR	2362	3720
627_1v	4480	3452
627_1vL	2260	3452
627_1vR	2232	3452
627_2r	4912	4567
628_1r	2091	2717
628_1v	2090	2719
628_2r	2056	2677
628_2v	2002	2601
632_1r	2135	2760
632_1v	2094	2720
632_2r	2093	2723
632_2v	2100	2717
633_1r	2067	2678
633_1v	2120	2749
633_2r	1558	2386
633_2v	1556	2384
641_1r	1581	2440
641_1v	1759	2666
641_2r	1662	2535
641_2v	1644	2459
641_r_rec	3292	2466
641_v_rec	3562	2543
643_1r	3382	2638
643_1v	3395	2692
649_1r	3147	2382
649_1v	3208	2436
651_1r	4399	2800
651_1v	4288	2733
655_1r	4402	2732
655_1v	4278	2681
655_2r	1566	2410
655_2v	1533	2354
665_1r	2741	2176
665_1v	2731	2176
684_1r	3304	2479
684_1v	3313	2487
687_1r	2471	1901
687_1v	2332	1791
689_3r	3813	2997
690_1r	3249	2452
690_1v	3289	2447
691_2r	3296	5018
691_2v	5591	3313
691_3r	5398	3335
695_1r	2396	1861
695_1v	2392	1864
696_1r	3411	2502
696_1v	3400	2355
698_1r	3986	2900
698_1v	3304	2287
703_1r	3313	2494
703_1v	3324	2491
706_1r	2616	2071
706_1v	3096	2461
716_1r	796	634
716_1v	801	638
739_1r	5466	4133
739_1rL	2733	4133
739_1rR	2733	4133
739_1v	5408	4133
739_1vL	2733	4133
739_1vR	2656	4103
740_1r	3974	3093
740_1v	3957	3094
756_1r	3984	3089
756_1v	3998	3119
776_1r	13098	3488
776_1v	5815	4576
778_1r	2540	3358
809_1r	1553	2405
809_1v	1613	2497
821_1r	3200	2472
821_1rL	1649	2472
821_1rR	1648	2472
822_1r	4477	2758
822_1rL	2209	2746
822_1v	6438	3859
842_1r	1318	1017
842_1v	1323	1011
842_2r	3344	2560
849_1r	4300	3376
849_1rL	2160	3376
849_1rR	2140	3376
849_1v	4324	3380
849_1vL	2164	3380
849_1vR	2156	3380
851_1r	6405	4950
851_1v	6336	4895
853_1r	5367	6809
853_1v	5373	6922
871_1r	3379	2542
871_1rR	3436	2545
871_1v	3363	2546
883_1r	3393	2142
883_1v	3423	2143
887_1rR	3044	3939
893_1r	1880	2336
893_1v	1873	2324
B0242_01	2483	3861
B0242_02	2514	3884
RM15_n	3266	3740
VGM001000001_01_n	1719	2504
VGM001000001_02_n	1690	2512
VGM001000002_01_n	1720	2572
VGM001000002_02_n	1720	2580
VGM001000003_01_n	3292	2572
VGM001000003_02_n	3262	2566
VGM001000004_01_n	3274	2542
VGM001000004_02_n	3274	2584
VGM001000005_01_n	3274	2566
VGM001000005_02_n	3262	2560
VGM001000006_01_n	1702	2554
VGM001000006_02_n	1750	2554
VGM001000007_01_n	3262	2566
VGM001000007_02_n	3256	2578
VGM001000008_01_n	3298	2566
VGM001000008_02_n	3298	2572
VGM001000009_01_n	3106	2494
VGM001000009_02_n	3118	2500
VGM001000010_01_n	3070	2476
VGM001000010_02_n	3064	2470
VGM001000011_01_n	1720	2554
VGM001000011_02_n	1696	2536
VGM001000012_01_n	3076	2446
VGM001000012_02_n	3076	2452
VGM001000013_01_n	2746	2182
VGM001000013_02_n	2734	2182
VGM001000014_01_n	1432	2164
VGM001000014_02_n	1426	2164
VGM001000015_01_n	1600	2470
VGM001000015_02_n	1582	2452
VGM001000016_01_n	3082	2458
VGM001000016_02_n	3070	2470
VGM001000017_01_n	3070	2464
VGM001000017_02_n	3082	2440
VGM001000018_01_n	1732	2524
VGM001000018_02_n	1720	2512
VGM001000019_01_n	3082	2452
VGM001000019_02_n	3100	2470
VGM001000020_01_n	3068	2452
VGM001000020_02_n	3082	2464
VGM001000021_01_n	3070	2458
VGM001000021_02_n	3063	2464
VGM001000022_01_n	1360	1691
VGM001000022_02_n	1366	1691
VGM001000023_01_n	1708	2692
VGM001000023_02_n	1702	2692
VGM001000024_01_n	3094	2458
VGM001000024_02_n	3082	2464
VGM001000025_01_n	2752	2236
VGM001000025_02_n	2752	2218
VGM001000026_01_n	2159	1396
VGM001000026_02_n	2143	1384
VGM001000027_01_n	2746	2146
VGM001000027_02_n	2764	2164
VGM001000028_01_n	3088	2482
VGM001000028_02_n	3076	2488
VGM001000029_01_n	1764	1019
VGM001000029_02_n	1780	1063
VGM001000030_01_n	3280	2614
VGM001000030_02_n	3292	2608
VGM001000031_01_n	3310	2554
VGM001000031_02_n	3292	2554
VGM001000032_01_n	3321	2554
VGM001000032_02_n	3310	2560
VGM001000033_01_n	3112	2482
VGM001000033_02_n	3118	2476
VGM001000034_01_n	1624	2488
VGM001000034_02_n	1618	2476
VGM001000035_01_n	3082	2458
VGM001000035_02_n	3082	2458
VGM001000036_01_n	1444	2170
VGM001000036_02_n	1426	2176
VGM001000037_01_n	3238	2512
VGM001000037_02_n	3244	2518
VGM001000038_01_n	3333	2602
VGM001000038_02_n	3315	2614
VGM001000039_01_n	3303	2584
VGM001000039_02_n	3315	2614
VGM001000040_01_n	3303	2608
VGM001000040_02_n	3345	2620
VGM001000041_01_n	3286	2608
VGM001000041_02_n	3304	2608
VGM001000042_01_n	3309	2614
VGM001000042_02_n	3316	2626
VGM001000043_01_n	3309	2620
VGM001000043_02_n	3357	2650
VGM001000044_01_n	3333	2614
VGM001000044_02_n	3333	2596
VGM001000045_01_n	3322	2614
VGM001000045_02_n	3328	2608
VGM001000046_01_n	3333	2620
VGM001000046_02_n	3339	2608
VGM001000047_01_n	2638	1674
VGM001000047_02_n	2614	1686
VGM001000048_01_n	3405	2662
VGM001000048_02_n	3429	2674
VGM001000049_01_n	1720	2566
VGM001000049_02_n	1720	2554
VGM001000050_01_n	3316	2614
VGM001000050_02_n	3327	2608
VGM001000051_01_n	3268	2564
VGM001000051_02_n	3268	2584
VGM001000052_01_n	1696	1123
VGM001000052_02_n	1656	1099
VGM001000053_01_n	3321	2614
VGM001000053_02_n	3304	2608
VGM001000054_01_n	2590	1679
VGM001000054_02_n	2590	1685
VGM001000055_01_n	3274	2578
VGM001000055_02_n	3274	2578
VGM001000056_01_n	3334	2596
VGM001000056_02_n	3321	2584
VGM001000057_01_n	3262	2572
VGM001000057_02_n	3273	2575
VGM001000058_01_n	3286	2584
VGM001000058_02_n	3292	2578
VGM001000059_01_n	3303	2602
VGM001000059_02_n	3286	2590
VGM001000060_01_n	1720	2662
VGM001000060_02_n	1642	2602
VGM001000061_01_n	2578	1638
