file	width	height
043_1r	1001	620
124_1r	827	1213
124_1v	825	1212
262_3r	230	128
314_1r	1091	1647
314_1v	1176	1656
315_1r	1266	1939
315_2r	1927	1151
315_2v	1919	1138
320_1r	1076	836
320_1v	1079	838
320_2r	478	353
325_1r	466	357
325_1v	465	359
325_2r	467	359
325_2v	466	358
325_3r	2865	2312
328_1r	1948	1527
328_2r	841	555
329_2r	998	1523
412_1r	1672	1077
412_1v	1661	1062
412_2r	1129	655
433_3r	1462	627
433_4r	1362	993
435_3r	554	861
435_3v	548	867
435_4r	534	831
435_4v	609	843
454_1r	2290	1736
454_1v	2359	1613
491_1r	997	657
491_1v	1154	742
493_2r	279	159
569_1r	1187	847
569_1v	1110	847
569_2r	570	869
569_2v	568	868
570_1r	588	918
573_1r	1890	1515
573_1vL	966	1523
575_1r	1165	874
575_1v	1060	824
587_1r	545	834
587_1v	537	821
596_1r	1203	894
596_1v	1204	898
598_1r	1476	1099
598_1rL	742	1144
598_1rR	735	1144
598_1v	1529	1187
598_1vL	771	1187
598_1vR	762	1187
599_1r	1114	860
599_1v	2114	1631
612_1r	1117	801
612_1v	1129	805
618_1r	1367	1047
618_1v	1354	1041
622_1r	1490	972
622_1v	1482	965
622_2r	739	591
622_2v	739	589
622_3r	722	367
622_3v	749	379
627_1r	1656	1302
627_1rL	828	1302
627_1rR	827	1302
627_1v	1568	1208
627_1vL	791	1208
627_1vR	781	1208
627_2r	1719	1598
628_1r	732	951
628_1v	732	952
628_2r	720	937
628_2v	701	910
632_1r	747	966
632_1v	733	952
632_2r	733	953
632_2v	735	951
633_1r	723	937
633_1v	742	962
633_2r	545	835
633_2v	545	834
641_1r	553	854
641_1v	616	933
641_2r	582	887
641_2v	575	861
641_r_rec	1152	863
641_v_rec	1247	890
643_1r	1184	923
643_1v	1188	942
649_1r	1101	834
649_1v	1123	853
651_1r	1540	980
651_1v	1501	957
655_1r	1541	956
655_1v	1497	938
655_2r	548	844
655_2v	537	824
665_1r	959	762
665_1v	956	762
684_1r	1156	868
684_1v	1160	870
687_1r	865	665
687_1v	816	627
689_3r	1335	1049
690_1r	1137	858
690_1v	1151	856
691_2r	1154	1756
691_2v	1957	1160
691_3r	1889	1167
695_1r	839	651
695_1v	837	652
696_1r	1194	876
696_1v	1190	824
698_1r	1395	1015
698_1v	1156	800
703_1r	1160	873
703_1v	1163	872
706_1r	916	725
706_1v	1084	861
716_1r	279	222
716_1v	280	223
739_1r	1913	1447
739_1rL	957	1447
739_1rR	957	1447
739_1v	1893	1447
739_1vL	957	1447
739_1vR	930	1436
740_1r	1391	1083
740_1v	1385	1083
756_1r	1394	1081
756_1v	1399	1092
776_1r	4584	1221
776_1v	2035	1602
778_1r	889	1175
809_1r	544	842
809_1v	565	874
821_1r	1120	865
821_1rL	577	865
821_1rR	577	865
822_1r	1567	965
822_1rL	773	961
822_1v	2253	1351
842_1r	461	356
842_1v	463	354
842_2r	1170	896
849_1r	1505	1182
849_1rL	756	1182
849_1rR	749	1182
849_1v	1513	1183
849_1vL	757	1183
849_1vR	755	1183
851_1r	2242	1733
851_1v	2218	1713
853_1r	1878	2383
853_1v	1881	2423
871_1r	1183	890
871_1rR	1203	891
871_1v	1177	891
883_1r	1188	750
883_1v	1198	750
887_1rR	1065	1379
893_1r	658	818
893_1v	656	813
B0242_01	869	1351
B0242_02	880	1359
RM15_n	1143	1309
VGM001000001_01_n	602	876
VGM001000001_02_n	592	879
VGM001000002_01_n	602	900
